Card_Name,Type,Range,Notes,location,Deckorder,Images
Curse_Whistle,,, Draw 2 Spell cards,,,McLLez6ki.jpeg
Fetch_Stick,,, Attack of Range = 1,,,McLLez6ki.jpeg
Limbo_Gate,,, Move Self or Adjacent friendly unit to any open space,,,McLLez6ki.jpeg
Mist_of_Releh,,, No Attacks may be made this turn,,,McLLez6ki.jpeg
Scrying_Window,,, Look at opponents hand. Draw a card from your deck.,,,McLLez6ki.jpeg
Time_Warp,,4, Target is destroyed,,,McLLez6ki.jpeg
Insanity,,, Any target unit loses 1 hit,,,McLLez6ki.jpeg
Curse_of_Darkness,,, Destroy Target summoned Unit,,,McLLez6ki.jpeg
Curse_of_the_Stone,,3, Target cannot move or attack for 4 turns,,,McLLez6ki.jpeg
Death_Spell,,3, Target is destroyed,,,McLLez6ki.jpeg
Devolution,,2, Gain Control of Target for 3 turns then target runs away,,,McLLez6ki.jpeg
Dominate,,3, Gain Control of Target for 3 turns,,,McLLez6ki.jpeg
Dust_of_Suleiman,,, Attack of Range = 1,,,McLLez6ki.jpeg
Eibon�s_Wheel_of_Mist,,, Defense,,,McLLez6ki.jpeg
Enthrall_Victim,,2, Target cannot move or attack for 4 turns,,,McLLez6ki.jpeg
Explode_Heart,,2, Target is destroyed,,,McLLez6ki.jpeg
Eye_of_Light_&_Darkness,,, All adjacent enemies take 1 Hit of Damage,,,McLLez6ki.jpeg
Fist_of_Yog_Sothoth,,, Attack of Range = 4,,,McLLez6ki.jpeg
Flesh_Ward,,, Caster Immune to Range = 1 Attacks for 5 turns,,,McLLez6ki.jpeg
Grasp_of_Cthulhu,,4, Target cannot move or attack for 4 turns,,,McLLez6ki.jpeg
Hands_of_Colubra,,, Attack of Range = 1,,,McLLez6ki.jpeg
Heal,,, Self or adjacent unit regains 1 lost Hit,,,McLLez6ki.jpeg
Implant_Fear,,3, Target cannot move or attack for 4 turns,,,McLLez6ki.jpeg
Keeness_of_Two_Alike,,, Look at opponents hand. Draw a card from your deck.,,,McLLez6ki.jpeg
Levitate,,, Defense,,,McLLez6ki.jpeg
Living_Clothes,,, Attack of Range = 3 ,,,McLLez6ki.jpeg
Look_to_the_Future,,, Look at opponents hand. Draw a card from your deck.,,,McLLez6ki.jpeg
Mental_Suggestion,,3, Gain Control of Target for 3 turns,,,McLLez6ki.jpeg
Mesmerize,,2, Gain Control of Target for 4 turns,,,McLLez6ki.jpeg
Mind_Blast,,, Attack of Range = 4,,,McLLez6ki.jpeg
Mind_Exchange,,1, Gain Control of Target for 3 turns,,,McLLez6ki.jpeg
Nightmare,,4, Target cannot move or attack for 4 turns,,,McLLez6ki.jpeg
Pipes_of_Madness,,, Both players discard all their cards,,,McLLez6ki.jpeg
Power_Drain,,, Steal 2 random spell cards from opponent,,,McLLez6ki.jpeg
Raise_Corpse,,, Bring friendly dead unit back to life adjacent to caster. Unit has 1 Hit.,,,McLLez6ki.jpeg
Red_Sign_of_Shudde_M�ell,,, All adjacent units take 1 Hit of Damage,,,McLLez6ki.jpeg
Remortification,,, Defense,,,McLLez6ki.jpeg
Seal_of_Isis,,, Negate a Spell card just played,,,McLLez6ki.jpeg
Send_Dreaming,,, Draw 2 cards from your deck,,,McLLez6ki.jpeg
Song_of_Hastur,,, Attack of Range = 4,,,McLLez6ki.jpeg
Song_of_Glissande,,, Caster & 3 Targets within 2 spaces cannot move or attack for 2 turns,,,McLLez6ki.jpeg
Soul_Singing,,, Move enemy unit up to 3 spaces in any direction,,,McLLez6ki.jpeg
Steal_Life,,, Attack of Range = 2. Caster regains 1 lost Hit,,,McLLez6ki.jpeg
Unspeakable_Promise,,, Draw 2 Spell cards,,,McLLez6ki.jpeg
Voice_of_Ra,,, Draw 2 cards from your deck,,,McLLez6ki.jpeg
Wither_Limb,,, Attack of Range = 3,,,McLLez6ki.jpeg
Wrack,,3, Target cannot move or attack for 4 turns,,,McLLez6ki.jpeg
