Card_Name,Nbr,Type,Range,Notes,Faction,location,Deckorder,Images
Taloned_Hands,2,A,1,,SERPENT_PEOPLE,,,McLLez6ki.jpeg
Constriction,1,A,1,,SERPENT_PEOPLE,,,McLLez6ki.jpeg
Spit_Poison,2,A,2,,SERPENT_PEOPLE,,,McLLez6ki.jpeg
Poisoned_Darts,2,A,2,,SERPENT_PEOPLE,,,McLLez6ki.jpeg
Firearms,2,A,3,,SERPENT_PEOPLE,,,McLLez6ki.jpeg
Sinuous_Weaving,2,D,-,,SERPENT_PEOPLE,,,McLLez6ki.jpeg
Sneak_&_Skulk,2,D,-,,SERPENT_PEOPLE,,,McLLez6ki.jpeg
Reptilian_Scales,2,D,-,,SERPENT_PEOPLE,,,McLLez6ki.jpeg
Cold-Blooded,2,XF,3,Draw 3 cards,SERPENT_PEOPLE,,,McLLez6ki.jpeg
Illusions,2,D,-,Not Degenerates,SERPENT_PEOPLE,,,McLLez6ki.jpeg
Sorcery,6,XS,1,Discard to Draw a Spell Card,SERPENT_PEOPLE,,,McLLez6ki.jpeg
Encroach,4,M,1,,CULTIST,,,McLLez6ki.jpeg
March,4,M,2,,CULTIST,,,McLLez6ki.jpeg
Run,3,M,3,,CULTIST,,,McLLez6ki.jpeg
Charge,2,M,4,,CULTIST,,,McLLez6ki.jpeg
Rush_In,2,M,K,,CULTIST,,,McLLez6ki.jpeg
Spear,2,A,1,,CULTIST,,,McLLez6ki.jpeg
Dagger,2,A,1,,CULTIST,,,McLLez6ki.jpeg
Machete,2,A,1,,CULTIST,,,McLLez6ki.jpeg
Thrown_Knives,2,A,2,,CULTIST,,,McLLez6ki.jpeg
Pistol,2,A,2,,CULTIST,,,McLLez6ki.jpeg
Bolas,2,A,3,,CULTIST,,,McLLez6ki.jpeg
Antique_Gun,1,A,3,,CULTIST,,,McLLez6ki.jpeg
Frenzy,2,D,-,,CULTIST,,,McLLez6ki.jpeg
Drugged,2,D,-,,CULTIST,,,McLLez6ki.jpeg
Fanaticism,2,XF,3,Draw 3 cards,CULTIST,,,McLLez6ki.jpeg
Ritual_Sacrifice,5,XS,1,Draw a Spell Card,CULTIST,,,McLLez6ki.jpeg
